name,area,group,term
Bernard Johnathan Nottage,Bains Town and Grants Town,PLP,2012
Renward R. Wells,Bamboo Town,PLP,2012
Daniel Mackey D. Johnson,Carmichael,PLP,2012
Perry Gladstone Christie,Centreville,PLP,2012
Leo Ryan Pinder,Elizabeth,PLP,2012
Glenys Margaret Hanna-Martin,Englerston,PLP,2012
Sylvester Andre Rollins,Fort Charlotte,PLP,2012
Frederick Audley Mitchell,Fox Hill,PLP,2012
Kendal Versil O. Major,Garden Hills,PLP,2012
David Shane Gibson,Golden Gates,PLP,2012
Michael Brian Halkitis,Golden Isles,PLP,2012
Hubert Alexander Minnis,Killarney,FNM,2012
Jerome Kennedy Fitzgerald,Marathon,PLP,2012
Richard Hubert Lightbourn,Montague,FNM,2012
Arnold Andre Forbes,Mount Moriah,PLP,2012
Dion Duke Smith,Nassau Village,PLP,2012
Khaalis Evanstine Rolle,Pinewood,PLP,2012
Hubert Anthony Chipman,St. Anne’s,FNM,2012
Cynthia Vera Hope Strachan,Sea Breeze,PLP,2012
Cleola Hamilton,South Beach,PLP,2012
Kendred Michael A. Dorsett,Southern Shores,PLP,2012
Leslie O. Miller,Tall Pines,PLP,2012
Melanie Sharon Griffin,Yamacraw,PLP,2012
Neko Carlson Grant,Central Grand Bahama,FNM,2012
Kevin Peter Turnquest,East Grand Bahama,FNM,2012
Gregory Kevin Moss,Marco City,PLP,2012
Michael Ronald Darville,Pineridge,PLP,2012
Obediah Hercules Wilchombe,West Grand Bahama & Bimini,PLP,2012
Edison McGinnis Key,Central & South Abaco,FNM,2012
Hubert A. Ingraham,North Abaco,FNM,2012
Renardo Curry,North Abaco,PLP,2012
Picewell Alexander L. Forbes,Mangrove Cay & South Andros,PLP,2012
Michael Perry Gomez,North Andros & Berry Island,PLP,2012
Phillip Edward “Brave” Davis,"Cat Is., Rum Cay & San Salvador",PLP,2012
Damian Anselm Leroy Gomez,Central & South Eleuthera,PLP,2012
Theo James Neilly,North Eleuthera,FNM,2012
Anthony Donald Moss,The Exumas & Ragged Island,PLP,2012
Loretta R.Butler-Turner,Long Island,FNM,2012
Vergeneas Alfred Gray,"MICAL (Mayaguana, Inagua, Crooked Is., Acklins, & Long Cay)",PLP,2012
